geoid,name,year,total_est,total_se
04000US31,Nebraska,2012,5.8572459,.21293212
04000US31,Nebraska,2013,5.6771407,.22384809
04000US31,Nebraska,2014,5.4596262,.22421207
04000US31,Nebraska,2015,5.4426541,.22437046
04000US31,Nebraska,2016,5.7139072,.2218491
04000US31,Nebraska,2017,5.4565334,.2185495
04000US32,Nevada,2009,7.4234114,.25406867
04000US32,Nevada,2010,7.5723543,.24537915
04000US32,Nevada,2011,7.942163,.29075837
04000US32,Nevada,2012,8.2415648,.2355172
04000US32,Nevada,2013,7.6786585,.22350298
04000US32,Nevada,2014,8.3369961,.24691683
04000US32,Nevada,2015,7.6941462,.22987747
04000US32,Nevada,2016,8.1890106,.27515924
04000US32,Nevada,2017,7.2140565,.2560657
04000US33,New Hampshire,2009,4.7430391,.23558356
04000US33,New Hampshire,2010,5.5539927,.288973
04000US33,New Hampshire,2011,4.6865745,.26656687
04000US33,New Hampshire,2012,5.4885321,.32380691
04000US33,New Hampshire,2013,5.2218022,.29684895
04000US33,New Hampshire,2014,5.3817558,.29953697
04000US33,New Hampshire,2015,4.967205,.27973294
04000US33,New Hampshire,2016,5.5235548,.31511322
04000US33,New Hampshire,2017,5.0987325,.30812994
04000US34,New Jersey,2009,11.821259,.18497217
04000US34,New Jersey,2010,11.661535,.16707069
04000US34,New Jersey,2011,11.903256,.15469962
04000US34,New Jersey,2012,11.867485,.15150917
04000US34,New Jersey,2013,11.624365,.16093732
04000US34,New Jersey,2014,11.360555,.14908008
04000US34,New Jersey,2015,11.696999,.17510064
04000US34,New Jersey,2016,11.568158,.15785569
04000US34,New Jersey,2017,11.233293,.15750189
04000US35,New Mexico,2009,5.3485765,.26640275
04000US35,New Mexico,2010,5.1829433,.24695322
04000US35,New Mexico,2011,6.3028731,.32062909
04000US35,New Mexico,2012,5.7077422,.24772917
04000US35,New Mexico,2013,5.7016058,.22106227
04000US35,New Mexico,2014,6.2843995,.23683512
04000US35,New Mexico,2015,6.3820152,.27242267
04000US35,New Mexico,2016,5.4075613,.26811171
04000US35,New Mexico,2017,5.3153229,.24269257
04000US36,New York,2009,28.546175,.14227773
04000US36,New York,2010,29.130415,.15864146
04000US36,New York,2011,29.456013,.15562804
04000US36,New York,2012,29.789436,.14213158
04000US36,New York,2013,29.041218,.15503925
04000US36,New York,2014,29.422712,.14914076
04000US36,New York,2015,29.235214,.13746136
04000US36,New York,2016,29.015265,.16563325
04000US36,New York,2017,29.278803,.1399105
04000US37,North Carolina,2009,6.4677691,.1152444
04000US37,North Carolina,2010,6.5882945,.12532216
04000US37,North Carolina,2011,6.7646317,.12453956
04000US37,North Carolina,2012,6.6843548,.11309936
04000US37,North Carolina,2013,6.4808593,.13594697
04000US37,North Carolina,2014,6.306488,.13180459
